Year,Total Managed Expenditure,Current Spending,Public Sector net investment,Depreciation,Social Security (All),Social Security (Pensioners),Social Security (Non-Pensioners),Health,Education,Defence,Public Order & Safety,Transport,Housing and Community Amenities,Overseas Aid,PS Net debt interest,PS Gross debt interest,Long Term Care,Day-to-day public services,Nominal GDP
1989-90,218.9,192.4,4.8,21.8,51.88210412147506,29.293275488069416,22.588828633405644,24.38806290207291,25.9,21,10.3,7.3,5.3,1.55475,14.473,21.172,0,147.74489587852491,630.3
1990-91,237.9,209.7,6.5,21.6,58.27711496746205,32.6970715835141,25.580043383947945,27.1,28.1,22,11.7,8.3,6,1.5675,14.157,20.778,0,158.96588503253795,680
1991-92,263.6,233.9,8.9,20.8,68.3853579175705,36.61659436008677,31.76876355748373,30.9,31.3,23.2,13.2,9.2,6.8,1.82325,12.765,18.716,0,173.5496420824295,716.1
1992-93,283.4,254.8,7.6,21,77.6684381778742,40.020390455531455,37.64804772234274,34.2,33.2,23.8,14.4,10.8,7.1,1.87225,14.517,19.534,0,183.61456182212578,738.4
1993-94,296.2,268.8,6,21.4,84.99175704989156,43.01160520607376,41.9801518438178,36.6,34.7,23.5,15,10,6.2,1.981,16.923,21.173,0,188.28524295010843,782.8
1994-95,308.7,280.5,6.5,21.6,87.57039045553147,44.146203904555314,43.42418655097615,39.4,36.2,23.3,15.6,11.5,6.2,2.074,19.783,23.883,0,194.8466095444685,821.5
1995-96,323,294.5,6.4,22.1,91.48991323210413,45.899674620390456,45.59023861171367,41.4,37,22.5,16,10.9,6,2.03425,22.773,27.171,0,202.3370867678959,866.2
1996-97,328.6,303.6,3.2,21.8,95.10000000000001,48.375162689804775,46.724837310195234,42.8,37.8,22.1,16.4,9.5,5.7,2.0615,24.206,28.554,7.537501611323682,206.09400000000002,924.5
1997-98,344.7,317.5,4.8,22.4,96.30000000000001,50.265916398713834,46.03408360128618,44.5,38.6,21.7,17.1,8.7,4.9,2.155,25.605,36.527,7.970665650510535,217.99499999999998,965.5
1998-99,355.4,327.2,5.2,23.1,98.7,52.447280334728035,46.25271966527197,46.9,40,24.5,18,7.8,5.5,2.2785,24.831,36.691,8.468157361811027,226.669,1010.7
1999-00,368.1,338.8,5,24.2,103.39999999999999,55.67692307692307,47.723076923076924,49.4,42.2,25.1,18.4,7.9,4.7,2.332,21.606,33.313,9.334332852959019,238.09400000000005,1058.5
2000-01,391.1,361.3,4.7,25.1,109.3,59.04474929044465,50.25525070955535,54.2,45.9,25.7,20.4,9,5.5,3.02525,21.98,34.836,9.96448902060631,255.12000000000003,1114.3
2001-02,418.7,379.8,12.6,26.2,116,63.27272727272728,52.72727272727272,59.8,51.2,25.4,23.1,11.3,6.2,3.2045,20.389,31.45,10.72885225455792,269.71099999999996,1153
2002-03,454,408.3,17.7,28.1,120.6,65.41542416452442,55.18457583547557,66.2,54.7,27,24.4,14.8,5.4,3.4225,20.859,30.674,12.559592694670851,294.84100000000007,1209
2003-04,495.6,445.5,21.7,28.3,132.2,68.68607198748043,63.51392801251956,74.9,61,28.8,26.4,16.3,6.7,3.96075,21.842,32.827,14.21291867929673,319.85800000000006,1275.3
2004-05,536.7,478.8,28,29.9,140.4,73.56256448047164,66.83743551952837,82.9,65.1,29.8,28.5,16,8,4.708,23.735,36.515,15.622306930242065,344.56500000000005,1342.3
2005-06,567.3,508.1,27,32.2,147.3,77.99452247191012,69.3054775280899,89.8,69.8,31,29.3,17,10.7,6.137,24.457,39.054,16.671729803581094,368.54299999999995,1421
2006-07,594,532.2,27.6,34.2,152.4,80.59714867617109,71.80285132382892,94.7,73,32.2,30.4,19.9,11.5,6.30775,27.576,41.999,17.200250397685593,386.424,1488
2007-08,630.7,565.7,28.4,36.5,176.49999999999997,94.07303010890455,82.42696989109542,101.1,78.7,33.7,31.7,20.6,13,5.27975,28.623,45.434,18.32229723427067,397.1770000000001,1567
2008-09,688.1,600.4,47.8,39.9,175.90000000000003,93.3726365237816,82.52736347621844,108.7,83,36.8,33.7,21,15.3,6.59225,32.393,48.557,19.451932464501827,432.00700000000006,1583.4
2009-10,723.5,634.8,46.9,41.8,192.8,99.75618639528656,93.04381360471345,116.9,88.5,37.7,34.1,23,16.3,7.608,30.247,44.501,20.27748661353924,453.553,1561.3
2010-11,744.8,662.7,39.8,42.4,199.9,103.61741602067184,96.28258397932817,119.9,91.5,39.3,33.1,21.5,13.3,8.554,41.685,57.69,20.054876486289732,463.415,1630.5
2011-12,745.9,671.4,30.7,43.8,206.2,107.59158738107162,98.60841261892837,121.3,86.5,38.7,32.1,20.4,10.2,8.67225,43.579,60.447,20.569999999999997,465.42099999999994,1671.4
2012-13,760.4,683.1,32.3,45,214,113.50675675675677,100.49324324324323,124.3,84.1,36.3,31.3,20.2,10,9.45325,38.657,56.373,20.43,475.44300000000004,1727
2013-14,767,694.7,26.1,46.2,210.7,114.39180971064246,96.30819028935753,129.4,84.7,36.4,29.6,20.8,9.9,11.48025,37.402,56.438,20.16,492.79800000000006,1806.1
2014-15,788.1,705.2,35.6,47.3,215.2,117.93621517771373,97.26378482228625,134.1,85.1,36.7,30.2,22,10.3,11.809,33.633,54.229,20.509,503.667,1875.9
2015-16,796.5,716,32.3,48.2,217.9,120.17076411960133,97.72923588039868,138.5,84.9,36.6,30.2,27.9,9.8,12.44625,34.589,55.504,20.414,511.71100000000007,1937.6
2016-17,813.3,727.1,36.5,49.8,218.8,121.64742560226738,97.15257439773264,142.6,84.9,37.1,30.1,28.8,10.3,13.5455,37.401,57.467,20.993,520.599,2022.9
2017-18,840.5,743.6,46.4,50.5,220.9,123.01986940298508,97.88013059701493,147.3,86.1,38.7,31.5,30.3,11.4,14.17375,41.12,62.132,21.507,532.08,2102.9
2018-19,858.4,760.8,46.4,51.1,224.4,125.68880700138186,98.71119299861815,152.9,88.1,40.2,32.4,32.7,12.1,14.7005,34.932,56.881,22.732,552.668,2177.2
2019-20,888.7,793.2,42.7,52.7,229.06021405027568,128.15354354599324,100.90667050428243,164.1,90.6,42.2,34.5,34.4,14.2,15.00175,31.551,54.8,23.922,585.3887859497243,2249.4
2020-21,1106.7,981.1,72,53.7,250.93493011908757,131.8667254012095,119.06820471787807,218.6,95.5,44.6,38.9,49.4,13.7,13.73325,18.251,42.24,26.355,765.5140698809125,2085.2
2021-22,1041.5,937.8,48.6,55.1,250.08234322536217,134.12648143586205,115.95586178950012,216.2,100.1,48.7,39.8,44.7,15.2,11.8155,50.367,74.515,26.85,692.4506567746379,2337.9
2022-23,1154.9,1042.3,52.4,60.2,258.7082678542522,141.19011608800585,117.51815176624635,211.6,105.5,55.5,43.9,43.6,17.8,,97.152,128.398,28.061,746.6397321457478,2525.5
